index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
182,Brindavan Lake View Residency,12.9217132,77.6784259,Apartments,"Bellandur, Bengaluru",8.65693859317077,2.3960002770143984,11,13,763
183,Sobha Iris Condominium,12.9330271,77.6848047,Apartments,"Bellandur, Bengaluru",10.032696883378424,1.8435281440767763,9,9,542
184,Adarsh Palm Retreat Tower 2- Plumeria,12.9196245,77.6888967,Apartments,"Bellandur, Bengaluru",8.720693420929907,1.398933570675169,8,8,509
185,"Mayflower, Tower 7, Adarsh Palm Retreat Phase 3 Condominiums",12.9177155,77.6908839,Apartments,"Bellandur, Bengaluru",8.59217929000227,1.3479518139282582,14,15,873
186,Minent Serviced Apartment,12.9267367,77.6712223,Apartments,"Bellandur, Bengaluru",9.099774161880045,3.1342572912361013,17,18,1090
187,Primrose,12.9246969,77.674662,Apartments,"Bellandur, Bengaluru",8.917657494487091,2.762705609177718,9,11,655
188,Swami Narendra PG,12.9270637,77.6760846,Apartments,"Bellandur, Bengaluru",9.200301899634129,2.609287465110525,10,11,685
189,KRISTAL BROOKITE,12.9230184,77.6725081,Apartments,"Bellandur, Bengaluru",8.703064811190146,3.0095356098700043,11,13,758
191,The Bha House,12.9161131,77.6662878,Apartments,"Bellandur, Bengaluru",7.884702247535882,3.8232248572015157,15,18,1066
192,Shivalaya Apartments,12.9060107,77.694967,Apartments,"Bellandur, Bengaluru",7.575538835743398,2.2732861334752985,11,12,739
193,Bhanwar Sarjapur- Apartment,12.9117171,77.7001118,Apartments,"Bellandur, Bengaluru",8.396391833745549,1.5688967413633066,8,9,526
194,Bellanduru Junction City Light Apartment,12.925542,77.676131,Apartments,"Bellandur, Bengaluru",9.033825213568795,2.600829973501181,9,10,616
195,Nandu Associates,12.929869,77.684837,Apartments,"Bellandur, Bengaluru",9.692301443427384,1.7169736146824481,6,7,416
196,Lotus Palace Apartment (Sarjapur Road),12.9084475,77.6794482,Apartments,"Bellandur, Bengaluru",7.2397900509774376,2.9592897890816747,16,18,1062
197,DSR Emerald,12.9248214,77.6668214,Apartments,"Bellandur, Bengaluru",8.854592307514014,3.6113238535200884,14,16,978
198,JNR Krupa,12.9266517,77.6741888,Apartments,"Bellandur, Bengaluru",9.126241348373643,2.8126192698915515,11,13,775
199,Colive The Address,12.9299384,77.6775426,Apartments,"Bellandur, Bengaluru",9.540685431175998,2.489969301246417,11,11,656
200,August Grand,12.9090972,77.6904703,Apartments,"Bellandur, Bengaluru",7.6835789265775105,2.1344331147845983,14,15,928
201,Sobha Lakeview Clubhouse,12.9291578,77.6723717,Apartments,"Bellandur, Bengaluru",9.380027989806253,3.0307614315599825,17,19,1132
202,avigna apartments,12.9039839,77.7029845,Apartments,"Bellandur, Bengaluru",7.817372074699744,2.448454183172884,12,13,764
203,RC Sainikethan,12.9293218,77.6853883,Apartments,"Bellandur, Bengaluru",9.6478888696516,1.6439462636920656,7,8,471
204,Kamadhenu Apartment,12.9347005,77.7040163,Apartments,"Bellandur, Bengaluru",10.878977395964096,1.0729973132387778,4,5,279
205,Polaris Apartment,12.9066204,77.6897894,Apartments,"Bellandur, Bengaluru",7.400997420839834,2.411684588643195,13,14,838
