,level_0,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
121,897,897,Apartment,12.8993893,77.6510949,Apartment,"Ambalipura, Bengaluru",5.0310966365981695,3.49488678115844,17,1032
122,898,898,Nestaway Technologies Pvt. Ltd. Corporate,12.9158259,77.645526,Apartment,"Ambalipura, Bengaluru",4.074157719244558,3.873466436481907,14,820
123,899,899,Marouthu Homes,12.93108,77.683756,Apartment,"Ambalipura, Bengaluru",8.385608158963525,2.2256951570790378,13,793
124,900,900,ViceroySree Apartments,12.919247,77.6730022,Apartment,"Ambalipura, Bengaluru",7.060936780328027,1.2383561215016943,10,570
125,901,901,Green View Apartments,12.9445811,77.67910390000002,Apartment,"Ambalipura, Bengaluru",8.340066690158247,3.7115811757334556,17,1048
126,902,902,Elements Layout,12.9139498,77.6767583,Apartment,"Ambalipura, Bengaluru",7.462761670617602,0.5449517968464189,3,159
127,903,903,"West 024, Trinity Woods",12.916302900000002,77.6657807,Apartment,"Ambalipura, Bengaluru",6.269383982859773,1.737945569959183,8,460
128,905,905,Jana Jeeva habbit 2,12.9151303,77.6650892,Apartment,"Ambalipura, Bengaluru",6.195222256282776,1.7728837359891538,7,420
129,907,907,Flat apartment,12.9300508,77.6838345,Apartment,"Ambalipura, Bengaluru",8.371919922126892,2.113619618824362,13,809
130,908,908,RAYALA Livium,12.9133161,77.6690938,Apartment,"Ambalipura, Bengaluru",6.635379720451627,1.3059269795587098,7,444
131,909,909,Subha Serene Sai,12.9136106,77.66940550000002,Apartment,"Ambalipura, Bengaluru",6.667713615496147,1.2789978659991925,8,482
132,910,910,Apartment,12.9224363,77.6705931,Apartment,"Ambalipura, Bengaluru",6.827895908189402,1.6757692578274497,10,623
133,911,911,MANRIT REALTY,12.9181849,77.66949840000002,Apartment,"Ambalipura, Bengaluru",6.676464794003363,1.4616209328360295,5,295
134,913,913,Oakhaven service Apartments sarjapur road,12.9153327,77.6781705,Apartment,"Ambalipura, Bengaluru",7.612572204189827,0.5450642902173705,4,232
