,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh,13_30_voosh
105,8837,Anuraag Anmol,12.9408732,77.7046448,Apartment,"Kadubeesanahalli, Bengaluru",0.777909821064269,2.1434807220435714,,,828,14
106,8839,Sri Emerald Park,12.9487115,77.6960848,Apartment,"Kadubeesanahalli, Bengaluru",0.5270664555291665,2.2283554547647366,,,798,13
107,8859,Sai Sunayna,12.941199,77.7016119,Apartment,"Kadubeesanahalli, Bengaluru",0.6050442103710124,2.296405811433172,,,832,14
108,8860,Anjan enclave,12.9478447,77.7021005,Apartment,"Kadubeesanahalli, Bengaluru",0.2374354034174398,1.727328719232112,,,740,12
109,8862,Apartment sabeesh,12.946427,77.7021212,Apartment,"Kadubeesanahalli, Bengaluru",0.1876810529273985,1.8285065108115612,,,851,14
110,8878,New Home,12.949667,77.7004882,Apartment,"Kadubeesanahalli, Bengaluru",0.3513475517978618,1.7571704776452322,,,698,12
111,8884,Brindavan Apartment,12.947947,77.7046945,Apartment,"Kadubeesanahalli, Bengaluru",0.4929885653216132,1.510285096027097,,,827,14
112,8885,Nithya Apartment,12.9520902,77.7049983,Apartment,"Kadubeesanahalli, Bengaluru",0.7965145567587736,1.1992347539496733,,,696,12
113,8887,%E0%A4%AF%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE %E0%A4%AA%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%9F%E0%A5%80,12.9462552,77.7020919,Apartment,"Kadubeesanahalli, Bengaluru",0.18642889557950576,1.8438251737081175,,,859,14
114,8889,Building No.36,12.9457733,77.7043636,Apartment,"Kadubeesanahalli, Bengaluru",0.43816471645674704,1.7130029406611296,,,852,14
115,8897,Mia Rooms - Fully Furnished Houses,12.9492938,77.7042204,Apartment,"Kadubeesanahalli, Bengaluru",0.5177738292842686,1.4474279576781408,,,725,12
116,8901,Aaspire Heights,12.949386,77.7019825,Apartment,"Kadubeesanahalli, Bengaluru",0.3634510858673332,1.6361427042577816,,,665,11
117,8903,Pranava's BSR Gitaaar,12.9416686,77.7011981,Apartment,"Kadubeesanahalli, Bengaluru",0.5452468226485188,2.283342484740564,,,799,13
118,8907,Sri Apartment,12.9498993,77.7017692,Apartment,"Kadubeesanahalli, Bengaluru",0.4055119336360485,1.6247237934293617,,,668,11
119,8908,Rohan Vasantha Apts,12.9582053,77.7067979,Apartment,"Kadubeesanahalli, Bengaluru",1.474301805472206,0.8408502027866112,,,650,11
120,8910,CKB Apartment,12.9514056,77.7041735,Apartment,"Kadubeesanahalli, Bengaluru",0.6815296950189986,1.3150513276641516,,,601,10
121,8915,Sunkhara residency,12.9536392,77.695126,Apartment,"Kadubeesanahalli, Bengaluru",0.9768475296614207,2.147652595757963,,,734,12
122,8916,Govindam Meghana Homes,12.9556583,77.7097061,Apartment,"Kadubeesanahalli, Bengaluru",1.4331754697768337,0.5643058697465826,,,403,7
123,8923,Royal hights,12.9485211,77.7159555,Apartment,"Kadubeesanahalli, Bengaluru",1.7014356262948283,1.0179819560949188,,,519,9
124,8930,Vanshee Eldorado Apartment,12.9521457,77.6995145,Apartment,"Kadubeesanahalli, Bengaluru",0.6339715488602258,1.735344509589813,,,872,15
125,8931,Shruthi Apartment,12.9490891,77.711463,Apartment,"Kadubeesanahalli, Bengaluru",1.2336438126014926,0.9998874720038609,,,678,11
126,8932,Apartment Number 6,12.9497134,77.7086947,Apartment,"Kadubeesanahalli, Bengaluru",0.9678085496838459,1.0784540140170904,,,740,12
127,8936,Aloknath House,12.949336,77.7130611,Apartment,"Kadubeesanahalli, Bengaluru",1.4085273576305726,0.9293142115784777,,,568,9
128,8938,A block,12.9571099,77.7057722,Apartment,"Kadubeesanahalli, Bengaluru",1.3151381374422402,0.9504060694229822,,,563,9
129,8940,Sree venkateshwara pg accommodation,12.9420344,77.7014584,Apartment,"Kadubeesanahalli, Bengaluru",0.5107783974098503,2.2339994711456197,,,776,13
130,8947,Sobha Dream Acres - Flats for Sale in Bangalore,12.9382954,77.7262934,Apartment,"Kadubeesanahalli, Bengaluru",2.9518444478464856,2.4936980867608844,,,806,13
131,8948,Sobha Dream Acres,12.9391078,77.7201689,Apartment,"Kadubeesanahalli, Bengaluru",2.295853248100709,2.141923021586672,,,696,12
132,8954,Aarna Saptagiri Towers,12.9634024,77.7129251,Apartment,"Kadubeesanahalli, Bengaluru",2.3180843079065503,0.6714473562504787,,,167,3
133,8963,Avina residency,12.9522856,77.7088082,Apartment,"Kadubeesanahalli, Bengaluru",1.115607429458164,0.854239222159659,,,539,9
134,8966,Krishna kutira,12.9411423,77.7021214,Apartment,"Kadubeesanahalli, Bengaluru",0.62547430692943,2.268245334724399,,,788,13
135,8983,TrustedStay Service apartments in AECS Layout,12.9635966,77.7093385,Apartment,"Kadubeesanahalli, Bengaluru",2.133165344479266,0.8749566425154889,,,257,4
136,8987,Venkateswara Deluxe PG for Gents,12.9415712,77.7014598,Apartment,"Kadubeesanahalli, Bengaluru",0.5610991846242679,2.2739679606655447,,,795,13
137,8998,Saroj Group,12.9522835,77.7119978,Apartment,"Kadubeesanahalli, Bengaluru",1.412193687552859,0.6487245116076025,,,448,7
138,9007,Kadubeesanahalli STP,12.94732,77.697276,Apartment,"Kadubeesanahalli, Bengaluru",0.3494511994927919,2.1897431623645915,,,891,15
