Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
Macro NEST,13.0213094,77.6471121,Apartment,"Kalyan Nagar, Bengaluru",0.9624277726686156,0.6877125487759411,6,7,395
Srinidhi Apartment,13.0199261,77.6455564,Apartment,"Kalyan Nagar, Bengaluru",0.925196297415754,0.6860327467667227,6,7,407
Manna's Legacy,13.023268,77.643921,Apartment,"Kalyan Nagar, Bengaluru",0.5539016273410393,1.0712758573507488,4,5,288
Vinayakaiah Enclave,13.020958,77.6417431,Apartment,"Kalyan Nagar, Bengaluru",0.5917121937490172,1.0937106549184121,5,6,385
Aikya Towers,13.0172176,77.6435753,Apartment,"Kalyan Nagar, Bengaluru",1.0524582411875407,0.7621688149465483,6,7,412
Thoshini Lotus,13.0283997,77.6401531,Apartment,"Kalyan Nagar, Bengaluru",0.29417921245000467,1.7703506161876905,5,5,306
Scion Winter Leaf,13.0158125,77.6494844,Apartment,"Kalyan Nagar, Bengaluru",1.5497402873879365,0.11569311653422096,9,10,601
Art%26More Studio,13.020137,77.6485004,Apartment,"Kalyan Nagar, Bengaluru",1.159212815897526,0.5003139082356396,6,7,419
Nazm Apartment,13.0178692,77.6399377,Apartment,"Kalyan Nagar, Bengaluru",0.8856328999158594,1.1628276954552772,5,6,373
Tulip,13.0204486,77.6409867,Apartment,"Kalyan Nagar, Bengaluru",0.6181390427196591,1.1404022793920678,5,5,325
Sai Residency Apartments,13.0287385,77.6417464,Apartment,"Kalyan Nagar, Bengaluru",0.4031621351155939,1.6973510483004135,6,7,414
Gurukrupa apartments,13.0182419,77.6451488,Apartment,"Kalyan Nagar, Bengaluru",1.0397204317220154,0.6286871515639101,6,7,414
AH HABITAT Apt.,13.0242557,77.6344386,Apartment,"Kalyan Nagar, Bengaluru",0.5787512431673583,1.9641624647922382,2,2,147
J P Nakshtra Appt.,13.0183469,77.6503651,Apartment,"Kalyan Nagar, Bengaluru",1.4382235653450295,0.2517085267896875,8,9,525
BEW Paradise,13.0221247,77.6421957,Apartment,"Kalyan Nagar, Bengaluru",0.5024443766213919,1.1237234051146088,4,5,286
CBR Prakruthi Apartments,13.0299827,77.6493006,Apartment,"Kalyan Nagar, Bengaluru",1.1548238872513534,1.5506172991022202,8,9,531
Oak Ridge Apartment,13.0284491,77.6395264,Apartment,"Kalyan Nagar, Bengaluru",0.2918889604121512,1.8183066198113635,4,5,288
Scion Winsome,13.0240537,77.6421781,Apartment,"Kalyan Nagar, Bengaluru",0.3476987081730058,1.2649750190700495,3,4,221
Sri vari krupa CGC,13.0206945,77.6406481,Apartment,"Kalyan Nagar, Bengaluru",0.5830475577781531,1.1852649534650848,4,5,311
AH Shelter,13.0235791,77.6386696,Apartment,"Kalyan Nagar, Bengaluru",0.26656350997160355,1.5298600461358869,3,3,182
Mauli's,13.0195786,77.6443961,Apartment,"Kalyan Nagar, Bengaluru",0.8717232689727299,0.768106898485515,5,6,365
S S Environs,13.0281296,77.6402521,Apartment,"Kalyan Nagar, Bengaluru",0.26795033894824016,1.7403588574409674,5,5,298
Nandi Springfield Apartment,13.0147361,77.6485561,Apartment,"Kalyan Nagar, Bengaluru",1.5734588789273432,0.25999318740725247,8,10,576
Sims Heritage,13.0228913,77.638539,Apartment,"Kalyan Nagar, Bengaluru",0.34341608579657185,1.5018068898355648,3,5,278
Pawan House,13.021362,77.648069,Apartment,"Kalyan Nagar, Bengaluru",1.0494860650505011,0.6435085285638762,5,6,387
Vijay Cresent,13.0205886,77.6426745,Apartment,"Kalyan Nagar, Bengaluru",0.674367190149617,0.9858085940298428,5,6,352
Krishna Residency,13.0229248,77.6446184,Apartment,"Kalyan Nagar, Bengaluru",0.6383598885090885,0.9929383536179444,4,5,313
JS House,13.0214055,77.6452591,Apartment,"Kalyan Nagar, Bengaluru",0.7913764979895254,0.8208240247359573,5,6,346
Amen,13.0240265,77.6407586,Apartment,"Kalyan Nagar, Bengaluru",0.2399895853311042,1.3770356394756058,3,3,204
Sunny Bliss Apartment,13.0242664,77.646093,Apartment,"Kalyan Nagar, Bengaluru",0.7315216297201659,1.0278342670219667,5,6,340
Lokanathas Residency,13.0246482,77.6349138,Apartment,"Kalyan Nagar, Bengaluru",0.5171710320279445,1.9397021307858902,2,2,148
gina apartments,13.0277115,77.6386267,Apartment,"Kalyan Nagar, Bengaluru",0.23168120638042183,1.8245692870745958,4,4,252
Sims Legacy,13.0236343,77.6392972,Apartment,"Kalyan Nagar, Bengaluru",0.24482523004220955,1.4767744342440516,3,3,180
